Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 523.8836 seconds | Experiment
time: 4.0633 seconds | sending aggregated model to perun nodes round=3
time: 143.068 seconds | Round=4
time: 13.562299999999999 seconds | Aggregating round=4
time: 0.22090000000000004 seconds | saving aggregated model to storage (round=4)
time: 4.0959 seconds | sending aggregated model to perun nodes round=4
time: 136.27579999999998 seconds | Round=5
time: 13.486799999999999 seconds | Aggregating round=5
time: 0.2172 seconds | saving aggregated model to storage (round=5)
time: 4.0759 seconds | sending aggregated model to perun nodes round=5
time: 120.22409999999998 seconds | Round=6
time: 13.5809 seconds | Aggregating round=6
time: 0.21880000000000002 seconds | saving aggregated model to storage (round=6)
time: 4.0715 seconds | sending aggregated model to perun nodes round=6
time: 119.0051 seconds | Round=7
time: 13.4124 seconds | Aggregating round=7
time: 0.2065 seconds | saving aggregated model to storage (round=7)
time: 4.066000000000001 seconds | sending aggregated model to perun nodes round=7
time: 117.41740000000001 seconds | Round=8
time: 13.437900000000003 seconds | Aggregating round=8
time: 0.22549999999999998 seconds | saving aggregated model to storage (round=8)
time: 4.0722000000000005 seconds | sending aggregated model to perun nodes round=8
time: 112.8732 seconds | Round=9
time: 13.0401 seconds | Aggregating round=9
time: 0.21400000000000002 seconds | saving aggregated model to storage (round=9)
time: 4.0642000000000005 seconds | sending aggregated model to perun nodes round=9
time: 118.4866 seconds | Round=10
time: 12.994200000000001 seconds | Aggregating round=10
time: 0.22759999999999997 seconds | saving aggregated model to storage (round=10)
time: 4.1096 seconds | sending aggregated model to perun nodes round=10
time: 1332.8801734375 seconds | FL
time: 374.1776 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=1,
time: 2833.2932 seconds | Experiment
time: 753.0921000000001 seconds | opening channels
time: 360.8318 seconds | Round=1
time: 6.628400000000001 seconds | sharing model with perun nodes
time: 85.61359999999999 seconds | Training client=8
time: 68.94610000000002 seconds | Training client=38
time: 89.5309 seconds | Training client=48
time: 69.942 seconds | Training client=18
time: 87.949 seconds | Training client=0
time: 86.9405 seconds | Training client=28
time: 70.99910000000001 seconds | Training client=13
time: 84.70609999999999 seconds | Training client=23
time: 78.17949999999999 seconds | Training client=35
time: 85.0386 seconds | Training client=30
time: 75.11769999999999 seconds | Training client=43
time: 91.3671 seconds | Training client=40
time: 90.3606 seconds | Training client=7
time: 78.6686 seconds | Training client=19
time: 0.1823 seconds | sending updated weights to the perun node (client=43)
time: 88.3879 seconds | Training client=33
time: 0.1351 seconds | sending updated weights to the perun node (client=48)
time: 82.5439 seconds | Training client=25
time: 0.1299 seconds | sending updated weights to the perun node (client=18)
time: 85.3317 seconds | Training client=9
time: 0.17639999999999997 seconds | sending updated weights to the perun node (client=19)
time: 68.7415 seconds | Training client=32
time: 0.1648 seconds | sending updated weights to the perun node (client=0)
time: 0.211 seconds | sending updated weights to the perun node (client=23)
time: 78.5461 seconds | Training client=15
time: 0.13640000000000002 seconds | sending updated weights to the perun node (client=30)
time: 0.19990000000000002 seconds | sending updated weights to the perun node (client=40)
time: 79.4529 seconds | Training client=14
time: 0.1552 seconds | sending updated weights to the perun node (client=7)
time: 80.71379999999999 seconds | Training client=41
time: 92.16439999999999 seconds | Training client=42
time: 0.12200000000000003 seconds | sending updated weights to the perun node (client=28)
time: 0.1382 seconds | sending updated weights to the perun node (client=35)
time: 0.17419999999999997 seconds | sending updated weights to the perun node (client=8)
time: 76.5796 seconds | Training client=49
time: 82.8096 seconds | Training client=24
time: 83.2628 seconds | Training client=21
time: 0.18230000000000002 seconds | sending updated weights to the perun node (client=38)
time: 0.22410000000000002 seconds | sending updated weights to the perun node (client=13)
time: 71.79740000000001 seconds | Training client=39
time: 59.37859999999999 seconds | Training client=45
time: 75.8901 seconds | Training client=16
time: 0.18180000000000002 seconds | sending updated weights to the perun node (client=25)
time: 0.12990000000000002 seconds | sending updated weights to the perun node (client=33)
time: 80.7117 seconds | Training client=2
time: 79.52680000000001 seconds | Training client=12
time: 0.17350000000000002 seconds | sending updated weights to the perun node (client=21)
time: 89.92089999999999 seconds | Training client=44
time: 0.1461 seconds | sending updated weights to the perun node (client=9)
time: 80.95779999999999 seconds | Training client=31
time: 0.23879999999999998 seconds | sending updated weights to the perun node (client=41)
time: 82.34150000000001 seconds | Training client=26
time: 0.21059999999999998 seconds | sending updated weights to the perun node (client=24)
time: 0.153 seconds | sending updated weights to the perun node (client=14)
time: 0.17150000000000004 seconds | sending updated weights to the perun node (client=15)
time: 80.1076 seconds | Training client=6
time: 80.2215 seconds | Training client=1
time: 0.1528 seconds | sending updated weights to the perun node (client=32)
time: 83.48049999999999 seconds | Training client=17
time: 84.7312 seconds | Training client=22
time: 0.12919999999999998 seconds | sending updated weights to the perun node (client=45)
time: 72.39099999999999 seconds | Training client=10
time: 0.2173 seconds | sending updated weights to the perun node (client=49)
time: 79.304 seconds | Training client=47
time: 0.1858 seconds | sending updated weights to the perun node (client=42)
time: 75.49479999999998 seconds | Training client=4
time: 0.2008 seconds | sending updated weights to the perun node (client=39)
time: 81.86529999999999 seconds | Training client=27
time: 0.1646 seconds | sending updated weights to the perun node (client=16)
time: 81.1781 seconds | Training client=34
time: 0.16560000000000002 seconds | sending updated weights to the perun node (client=2)
time: 70.58399999999999 seconds | Training client=29
time: 0.1782 seconds | sending updated weights to the perun node (client=31)
time: 75.0429 seconds | Training client=3
time: 0.1753 seconds | sending updated weights to the perun node (client=44)
time: 0.147 seconds | sending updated weights to the perun node (client=12)
time: 83.8407 seconds | Training client=5
time: 67.3611 seconds | Training client=37
time: 0.1571 seconds | sending updated weights to the perun node (client=22)
time: 85.51410000000001 seconds | Training client=36
time: 0.1372 seconds | sending updated weights to the perun node (client=1)
time: 78.73310000000001 seconds | Training client=11
time: 0.1387 seconds | sending updated weights to the perun node (client=26)
time: 0.1126 seconds | sending updated weights to the perun node (client=17)
time: 70.7835 seconds | Training client=20
time: 0.1674 seconds | sending updated weights to the perun node (client=47)
time: 73.1388 seconds | Training client=46
time: 0.18009999999999998 seconds | sending updated weights to the perun node (client=10)
time: 0.18330000000000002 seconds | sending updated weights to the perun node (client=34)
time: 0.1388 seconds | sending updated weights to the perun node (client=6)
time: 0.17370000000000002 seconds | sending updated weights to the perun node (client=4)
time: 0.11410000000000001 seconds | sending updated weights to the perun node (client=27)
time: 0.11279999999999998 seconds | sending updated weights to the perun node (client=5)
time: 0.1117 seconds | sending updated weights to the perun node (client=37)
time: 0.18939999999999999 seconds | sending updated weights to the perun node (client=29)
time: 0.1347 seconds | sending updated weights to the perun node (client=36)
time: 0.1511 seconds | sending updated weights to the perun node (client=3)
time: 0.20099999999999998 seconds | sending updated weights to the perun node (client=20)
time: 0.1216 seconds | sending updated weights to the perun node (client=46)
time: 0.1659 seconds | sending updated weights to the perun node (client=11)
time: 27.1656 seconds | Aggregating round=1
time: 0.24330000000000002 seconds | saving aggregated model to storage (round=1)
time: 5.661600000000001 seconds | sending aggregated model to perun nodes round=1
time: 341.8925363459 seconds | FL
time: 1655.8935999999999 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=5,
time: 4928.5019 seconds | Experiment
time: 753.4084 seconds | opening channels
time: 367.854 seconds | Round=1
time: 8.063500000000001 seconds | sharing model with perun nodes
time: 87.46156 seconds | Training client=39
time: 89.47707999999999 seconds | Training client=14
time: 68.46698 seconds | Training client=10
time: 62.90789999999999 seconds | Training client=45
time: 82.26585999999999 seconds | Training client=25
time: 68.82306 seconds | Training client=46
time: 81.16358000000001 seconds | Training client=16
time: 80.11312000000001 seconds | Training client=8
time: 85.1092 seconds | Training client=3
time: 84.54275999999999 seconds | Training client=28
time: 78.7325 seconds | Training client=35
time: 97.91473999999998 seconds | Training client=19
time: 86.80063999999999 seconds | Training client=38
time: 70.05116 seconds | Training client=24
time: 0.08373999999999998 seconds | sending updated weights to the perun node (client=25)
time: 94.4201 seconds | Training client=9
time: 0.15280000000000002 seconds | sending updated weights to the perun node (client=3)
time: 92.05776 seconds | Training client=15
time: 0.14692 seconds | sending updated weights to the perun node (client=16)
time: 72.38314 seconds | Training client=2
time: 0.11808 seconds | sending updated weights to the perun node (client=45)
time: 60.47764 seconds | Training client=41
time: 0.22524 seconds | sending updated weights to the perun node (client=14)
time: 0.15539999999999998 seconds | sending updated weights to the perun node (client=8)
time: 0.20062000000000005 seconds | sending updated weights to the perun node (client=28)
time: 75.173 seconds | Training client=34
time: 62.23008 seconds | Training client=0
time: 0.17746000000000003 seconds | sending updated weights to the perun node (client=19)
time: 112.51002 seconds | Training client=49
time: 0.10310000000000001 seconds | sending updated weights to the perun node (client=38)
time: 71.19709999999999 seconds | Training client=20
time: 67.7407 seconds | Training client=42
time: 0.11445999999999999 seconds | sending updated weights to the perun node (client=10)
time: 90.52744000000001 seconds | Training client=26
time: 0.14558000000000001 seconds | sending updated weights to the perun node (client=35)
time: 0.17450000000000002 seconds | sending updated weights to the perun node (client=24)
time: 0.15539999999999998 seconds | sending updated weights to the perun node (client=39)
time: 0.15632000000000001 seconds | sending updated weights to the perun node (client=46)
time: 85.5858 seconds | Training client=18
time: 66.72858000000001 seconds | Training client=5
time: 75.2475 seconds | Training client=21
time: 79.6433 seconds | Training client=7
time: 0.14104 seconds | sending updated weights to the perun node (client=9)
time: 70.56336 seconds | Training client=37
time: 0.21208000000000002 seconds | sending updated weights to the perun node (client=15)
time: 84.33196 seconds | Training client=30
time: 0.1429 seconds | sending updated weights to the perun node (client=21)
time: 72.86672 seconds | Training client=4
time: 0.11012000000000001 seconds | sending updated weights to the perun node (client=2)
time: 63.8503 seconds | Training client=44
time: 0.12112 seconds | sending updated weights to the perun node (client=49)
time: 0.22987999999999997 seconds | sending updated weights to the perun node (client=20)
time: 86.34778 seconds | Training client=11
time: 91.17518 seconds | Training client=29
time: 0.24419999999999997 seconds | sending updated weights to the perun node (client=0)
time: 0.12814 seconds | sending updated weights to the perun node (client=42)
time: 93.14866000000002 seconds | Training client=17
time: 77.09904 seconds | Training client=33
time: 0.16252 seconds | sending updated weights to the perun node (client=41)
time: 0.13588 seconds | sending updated weights to the perun node (client=26)
time: 63.31448 seconds | Training client=43
time: 0.1884 seconds | sending updated weights to the perun node (client=34)
time: 76.42317999999999 seconds | Training client=40
time: 84.03856000000002 seconds | Training client=48
time: 0.17534 seconds | sending updated weights to the perun node (client=7)
time: 65.48176000000001 seconds | Training client=1
time: 0.15591999999999998 seconds | sending updated weights to the perun node (client=5)
time: 89.7257 seconds | Training client=6
time: 0.19082000000000002 seconds | sending updated weights to the perun node (client=18)
time: 79.86023999999999 seconds | Training client=22
time: 0.21922 seconds | sending updated weights to the perun node (client=37)
time: 59.27164 seconds | Training client=32
time: 0.16010000000000002 seconds | sending updated weights to the perun node (client=11)
time: 83.17218000000001 seconds | Training client=36
time: 0.15982 seconds | sending updated weights to the perun node (client=30)
time: 95.52502 seconds | Training client=27
time: 0.09655999999999999 seconds | sending updated weights to the perun node (client=4)
time: 73.60064 seconds | Training client=12
time: 0.20788 seconds | sending updated weights to the perun node (client=44)
time: 85.90604000000002 seconds | Training client=31
time: 0.13008 seconds | sending updated weights to the perun node (client=33)
time: 76.37140000000001 seconds | Training client=23
time: 0.18734 seconds | sending updated weights to the perun node (client=40)
time: 71.67627999999999 seconds | Training client=47
time: 0.17198 seconds | sending updated weights to the perun node (client=43)
time: 81.5478 seconds | Training client=13
time: 0.12886 seconds | sending updated weights to the perun node (client=29)
time: 0.15724 seconds | sending updated weights to the perun node (client=22)
time: 0.15719999999999998 seconds | sending updated weights to the perun node (client=17)
time: 0.14876 seconds | sending updated weights to the perun node (client=1)
time: 0.18238 seconds | sending updated weights to the perun node (client=48)
time: 0.1876 seconds | sending updated weights to the perun node (client=6)
time: 0.13368 seconds | sending updated weights to the perun node (client=36)
time: 0.15804 seconds | sending updated weights to the perun node (client=32)
time: 0.16434 seconds | sending updated weights to the perun node (client=27)
time: 0.16271999999999998 seconds | sending updated weights to the perun node (client=12)
time: 0.1597 seconds | sending updated weights to the perun node (client=23)
time: 0.18689999999999998 seconds | sending updated weights to the perun node (client=31)
time: 0.20332 seconds | sending updated weights to the perun node (client=47)
time: 0.15632000000000001 seconds | sending updated weights to the perun node (client=13)
time: 28.7786 seconds | Aggregating round=1
time: 0.1729 seconds | saving aggregated model to storage (round=1)
time: 7.402500000000001 seconds | sending aggregated model to perun nodes round=1
time: 373.8552 seconds | Round=2
time: 29.090299999999996 seconds | Aggregating round=2
time: 0.1794 seconds | saving aggregated model to storage (round=2)
time: 7.3723 seconds | sending aggregated model to perun nodes round=2
time: 311.7516 seconds | Round=3
time: 28.417900000000003 seconds | Aggregating round=3
time: 0.182 seconds | saving aggregated model to storage (round=3)
time: 7.3381 seconds | sending aggregated model to perun nodes round=3
time: 335.479 seconds | Round=4
time: 31.736700000000003 seconds | Aggregating round=4
time: 0.1769 seconds | saving aggregated model to storage (round=4)
time: 7.425 seconds | sending aggregated model to perun nodes round=4
time: 280.29550000000006 seconds | Round=5
time: 27.463099999999997 seconds | Aggregating round=5
time: 0.16899999999999998 seconds | saving aggregated model to storage (round=5)
time: 7.436099999999999 seconds | sending aggregated model to perun nodes round=5
time: 1563.7014886332001 seconds | FL
time: 1810.5192 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=10,
time: 5935.3150000000005 seconds | Experiment
time: 749.9735714285714 seconds | opening channels
time: 557.0297142857142 seconds | Round=1
time: 7.167428571428571 seconds | sharing model with perun nodes
time: 70.25054285714285 seconds | Training client=12
time: 105.7261857142857 seconds | Training client=25
time: 72.18745714285713 seconds | Training client=35
time: 106.03204285714287 seconds | Training client=26
time: 91.90004285714285 seconds | Training client=24
time: 88.96484285714286 seconds | Training client=14
time: 86.0118142857143 seconds | Training client=45
time: 91.76874285714284 seconds | Training client=20
time: 76.34085714285715 seconds | Training client=38
time: 58.806671428571434 seconds | Training client=33
time: 87.19800000000001 seconds | Training client=17
time: 104.13334285714285 seconds | Training client=15
time: 118.43234285714287 seconds | Training client=29
time: 85.61521428571427 seconds | Training client=11
time: 0.14044285714285715 seconds | sending updated weights to the perun node (client=12)
time: 85.45857142857142 seconds | Training client=32
time: 0.19039999999999999 seconds | sending updated weights to the perun node (client=35)
time: 0.16415714285714286 seconds | sending updated weights to the perun node (client=38)
time: 78.21348571428572 seconds | Training client=10
time: 90.58201428571428 seconds | Training client=2
time: 0.1694571428571429 seconds | sending updated weights to the perun node (client=14)
time: 134.38754285714282 seconds | Training client=40
time: 0.20395714285714286 seconds | sending updated weights to the perun node (client=15)
time: 0.12437142857142856 seconds | sending updated weights to the perun node (client=29)
time: 92.2126 seconds | Training client=44
time: 91.26275714285713 seconds | Training client=42
time: 0.21945714285714288 seconds | sending updated weights to the perun node (client=45)
time: 0.18967142857142855 seconds | sending updated weights to the perun node (client=33)
time: 109.71015714285716 seconds | Training client=30
time: 67.38210000000001 seconds | Training client=36
time: 0.18065714285714288 seconds | sending updated weights to the perun node (client=20)
time: 0.12975714285714288 seconds | sending updated weights to the perun node (client=26)
time: 0.1650857142857143 seconds | sending updated weights to the perun node (client=11)
time: 86.47651428571427 seconds | Training client=4
time: 81.64977142857144 seconds | Training client=6
time: 96.5783142857143 seconds | Training client=49
time: 0.1759428571428571 seconds | sending updated weights to the perun node (client=25)
time: 111.08982857142858 seconds | Training client=31
time: 0.13322857142857145 seconds | sending updated weights to the perun node (client=17)
time: 101.63677142857141 seconds | Training client=7
time: 0.13849999999999998 seconds | sending updated weights to the perun node (client=24)
time: 94.8332 seconds | Training client=0
time: 0.20125714285714286 seconds | sending updated weights to the perun node (client=10)
time: 70.33857142857146 seconds | Training client=34
time: 0.12779999999999997 seconds | sending updated weights to the perun node (client=32)
time: 86.76224285714287 seconds | Training client=3
time: 0.25830000000000003 seconds | sending updated weights to the perun node (client=4)
time: 65.38615714285714 seconds | Training client=37
time: 0.12324285714285715 seconds | sending updated weights to the perun node (client=30)
time: 78.45587142857141 seconds | Training client=23
time: 0.15975714285714285 seconds | sending updated weights to the perun node (client=2)
time: 113.68388571428571 seconds | Training client=43
time: 0.17247142857142858 seconds | sending updated weights to the perun node (client=34)
time: 86.12397142857142 seconds | Training client=39
time: 0.1220285714285714 seconds | sending updated weights to the perun node (client=44)
time: 62.589214285714284 seconds | Training client=1
time: 0.21218571428571426 seconds | sending updated weights to the perun node (client=36)
time: 64.75530000000002 seconds | Training client=46
time: 0.1521285714285714 seconds | sending updated weights to the perun node (client=40)
time: 61.41464285714285 seconds | Training client=22
time: 0.10598571428571428 seconds | sending updated weights to the perun node (client=6)
time: 75.23084285714286 seconds | Training client=47
time: 0.14427142857142863 seconds | sending updated weights to the perun node (client=42)
time: 5.7409285714285705 seconds | sending updated weights to the perun node (client=7)
time: 117.03465714285716 seconds | Training client=27
time: 61.36585714285715 seconds | Training client=8
time: 0.13384285714285715 seconds | sending updated weights to the perun node (client=49)
time: 93.87952857142857 seconds | Training client=18
time: 0.1559571428571429 seconds | sending updated weights to the perun node (client=31)
time: 0.14218571428571428 seconds | sending updated weights to the perun node (client=0)
time: 92.92944285714287 seconds | Training client=13
time: 84.60375714285715 seconds | Training client=41
time: 0.15230000000000002 seconds | sending updated weights to the perun node (client=3)
time: 64.21361428571429 seconds | Training client=16
time: 0.09814285714285713 seconds | sending updated weights to the perun node (client=37)
time: 97.26864285714285 seconds | Training client=9
time: 0.12852857142857144 seconds | sending updated weights to the perun node (client=23)
time: 95.17747142857141 seconds | Training client=28
time: 0.13152857142857144 seconds | sending updated weights to the perun node (client=43)
time: 98.4830857142857 seconds | Training client=19
time: 0.2711 seconds | sending updated weights to the perun node (client=39)
time: 84.20429999999998 seconds | Training client=48
time: 0.1436285714285714 seconds | sending updated weights to the perun node (client=1)
time: 68.48865714285715 seconds | Training client=21
time: 0.14040000000000005 seconds | sending updated weights to the perun node (client=46)
time: 112.2126 seconds | Training client=5
time: 0.15228571428571427 seconds | sending updated weights to the perun node (client=22)
time: 0.18052857142857143 seconds | sending updated weights to the perun node (client=41)
time: 0.19667142857142852 seconds | sending updated weights to the perun node (client=27)
time: 0.15557142857142855 seconds | sending updated weights to the perun node (client=47)
time: 0.16848571428571427 seconds | sending updated weights to the perun node (client=18)
time: 0.1243857142857143 seconds | sending updated weights to the perun node (client=8)
time: 0.18782857142857148 seconds | sending updated weights to the perun node (client=13)
time: 0.10448571428571428 seconds | sending updated weights to the perun node (client=16)
time: 0.17028571428571432 seconds | sending updated weights to the perun node (client=28)
time: 0.2470285714285714 seconds | sending updated weights to the perun node (client=9)
time: 0.13444285714285717 seconds | sending updated weights to the perun node (client=19)
time: 0.19881428571428572 seconds | sending updated weights to the perun node (client=48)
time: 0.2141428571428571 seconds | sending updated weights to the perun node (client=21)
time: 0.14625714285714286 seconds | sending updated weights to the perun node (client=5)
time: 27.85157142857143 seconds | Aggregating round=1
time: 0.21628571428571428 seconds | saving aggregated model to storage (round=1)
time: 6.1577142857142855 seconds | sending aggregated model to perun nodes round=1
time: 320.15885714285713 seconds | Round=2
time: 27.34942857142857 seconds | Aggregating round=2
time: 0.22100000000000003 seconds | saving aggregated model to storage (round=2)
time: 6.192857142857142 seconds | sending aggregated model to perun nodes round=2
time: 699.012857142857 seconds | Round=3
time: 26.960857142857147 seconds | Aggregating round=3
time: 0.21500000000000002 seconds | saving aggregated model to storage (round=3)
time: 6.165857142857144 seconds | sending aggregated model to perun nodes round=3
time: 302.6725714285714 seconds | Round=4
time: 28.112285714285715 seconds | Aggregating round=4
time: 0.2245714285714286 seconds | saving aggregated model to storage (round=4)
time: 6.117714285714286 seconds | sending aggregated model to perun nodes round=4
time: 289.3074285714286 seconds | Round=5
time: 27.09357142857143 seconds | Aggregating round=5
time: 0.22157142857142856 seconds | saving aggregated model to storage (round=5)
time: 6.208571428571429 seconds | sending aggregated model to perun nodes round=5
time: 403.026 seconds | Round=6
time: 25.994857142857143 seconds | Aggregating round=6
time: 0.22057142857142858 seconds | saving aggregated model to storage (round=6)
time: 6.243428571428572 seconds | sending aggregated model to perun nodes round=6
time: 259.1147142857143 seconds | Round=7
time: 27.259571428571427 seconds | Aggregating round=7
time: 0.21085714285714285 seconds | saving aggregated model to storage (round=7)
time: 6.243142857142858 seconds | sending aggregated model to perun nodes round=7
time: 268.71999999999997 seconds | Round=8
time: 28.469142857142856 seconds | Aggregating round=8
time: 0.21799999999999997 seconds | saving aggregated model to storage (round=8)
time: 6.2101428571428565 seconds | sending aggregated model to perun nodes round=8
time: 381.5397142857143 seconds | Round=9
time: 156.461 seconds | Aggregating round=9
time: 0.22814285714285715 seconds | saving aggregated model to storage (round=9)
time: 6.218285714285713 seconds | sending aggregated model to perun nodes round=9
time: 377.26371428571423 seconds | Round=10
time: 24.399285714285718 seconds | Aggregating round=10
time: 0.22157142857142859 seconds | saving aggregated model to storage (round=10)
time: 6.2170000000000005 seconds | sending aggregated model to perun nodes round=10
time: 2821.430374749857 seconds | FL
time: 1296.0455714285713 seconds | settling channels

